OrderDate,SalesID,SalesName,InvoiceNo,CustomerName,Gender,CustomerID,CustomerType,ProductName,ProductCode,ProductCategory,CategoryCode,UnitPrice,Quantity,OrderValue,DiscountValue,SalesValue,SalesReturn,CreditedAmount,Commission,Year,Month,Day,NetSales,DueAmount
10/3/2025,SID018,Shakil Khan,INV2510100037,New Era Fashion,Both,CUS00187,Corporate,Bra & Panty Set,APP013,Fashion Apparel,CAT001,900,91,81900,8190,73710,1474.2,0,2211.3,2025,October,3,72235.8,0
12/20/2026,SID008,Mim Akter,INV2612100038,Shine Collection,Female,CUS00483,Distributor,Makeup Remover,COS015,Cosmetics,CAT002,550,8,4400,440,3960,198,792,118.8,2026,December,20,3762,792
3/26/2026,SID012,Tanvir Islam,INV2603100039,Elite Fashion,Both,CUS00498,Distributor,Face Toner,COS033,Cosmetics,CAT002,500,95,47500,4750,42750,0,12825,1282.5,2026,March,26,42750,12825
3/12/2026,SID002,Samira Akter,INV2603100040,Fashion Central,Female,CUS00072,Walk In,Hair Dryer,COS038,Cosmetics,CAT002,4000,31,124000,0,124000,0,37200,3720,2026,March,12,124000,37200
11/20/2025,SID017,Nusrat Jahan,INV2511100041,Star Fashion,Female,CUS00410,Corporate,Face Cream,COS007,Cosmetics,CAT002,950,76,72200,7220,64980,0,0,1949.4,2025,November,20,64980,0
12/21/2026,SID001,Samira Akter,INV2612100042,Rainbow Apparel,Both,CUS00220,Walk In,Body Mist,COS037,Cosmetics,CAT002,450,100,45000,3150,41850,837,8370,1255.5,2026,December,21,41013,8370
1/4/2026,SID019,Rafiul Karim,INV2601100043,Glamour House,Female,CUS00107,Retail,Deodorant,COS016,Cosmetics,CAT002,450,21,9450,945,8505,425.25,0,255.15,2026,January,4,8079.75,0
11/14/2026,SID013,Mehedi Hasan,INV2611100044,Beauty Express,Male,CUST002,Online,Women's Nightwear,APP014,Fashion Apparel,CAT001,800,54,43200,1296,41904,0,12571.2,1257.12,2026,November,14,41904,12571.2
9/12/2025,SID003,Rakib Hasan,INV2509100045,Urban Beauty,Male,CUS00085,Walk In,Disinfectant Spray,HYG003,Hygiene Products,CAT004,400,52,20800,1040,19760,988,5928,592.8,2025,September,12,18772,5928
4/6/2026,SID005,Farzana Akter,INV2604100046,Fresh Look,Both,CUS00141,Online,Backpack,ACC012,Accessories,CAT003,3000,48,144000,10080,133920,0,40176,4017.6,2026,April,6,133920,40176
10/1/2025,SID009,Bonna Akter,INV2510100047,Fashion Hub Ltd,Female,CUS00102,Walk In,Men T-Shirt,APP001,Fashion Apparel,CAT001,750,14,10500,1050,9450,0,1890,283.5,2025,October,1,9450,1890
10/18/2025,SID006,Tanvir Islam,INV2510100048,Elegant Choice,Male,CUS00462,Distributor,Hair Conditioner,COS032,Cosmetics,CAT002,750,23,17250,1725,15525,310.5,4657.5,465.75,2025,October,18,15214.5,4657.5
4/13/2026,SID005,Nusrat Jahan,INV2604100049,Fashion Point,Male,CUS00105,Distributor,Personal Toys,COS041,Cosmetics,CAT002,1500,84,126000,0,126000,6300,37800,3780,2026,April,13,119700,37800
10/3/2025,SID010,Arif Hossain,INV2510100050,Pink Beauty,Male,CUS00013,Retail,Face Toner,COS033,Cosmetics,CAT002,500,50,25000,0,25000,500,0,750,2025,October,3,24500,0
11/17/2025,SID008,Sharmin Akter,INV2511100051,Trendy Boutique,Both,CUS00471,Retail,Backpack,ACC012,Accessories,CAT003,3000,27,81000,8100,72900,0,21870,2187,2025,November,17,72900,21870
7/19/2025,SID003,Sadia Afrin,INV2507100052,Moonlight Cosmetics,Male,CUS00216,Online,Foot Care Cream,COS023,Cosmetics,CAT002,300,40,12000,840,11160,0,0,334.8,2025,July,19,11160,0
7/8/2025,SID012,Nusrat Jahan,INV2507100053,Elegant Boutique,Male,CUS00330,Walk In,Compact Powder,COS008,Cosmetics,CAT002,800,80,64000,6400,57600,1152,11520,1728,2025,July,8,56448,11520
11/11/2025,SID009,Tanvir Islam,INV2511100054,Blue Sky Fashion,Both,CUST014,Online,Handbag,ACC001,Accessories,CAT003,3500,33,115500,3465,112035,2240.7,33610.5,3361.05,2025,November,11,109794.3,33610.5
5/30/2026,SID004,Tasnia Rahman,INV2605100055,Cosmetics Plus,Female,CUS00350,Walk In,Women's Nightwear,APP014,Fashion Apparel,CAT001,800,81,64800,4536,60264,0,12052.8,1807.92,2026,May,30,60264,12052.8
12/8/2026,SID020,Shuvo Das,INV2612100056,Grace Boutique,Both,CUS00175,Corporate,Body Spray,COS011,Cosmetics,CAT002,500,15,7500,225,7275,0,0,218.25,2026,December,8,7275,0
5/7/2026,SID015,Mehedi Hasan,INV2605100057,Fashion Central,Both,CUS00319,Walk In,Watch,ACC005,Accessories,CAT003,5000,55,275000,0,275000,13750,82500,8250,2026,May,7,261250,82500
7/9/2025,SID009,Nusrat Jahan,INV2507100058,Beauty Express,Male,CUST002,Online,Toothbrush,HYG006,Hygiene Products,CAT004,150,85,12750,637.5,12112.5,605.62,3633.75,363.38,2025,July,9,11506.88,3633.75
1/5/2026,SID005,Rakib Hasan,INV2601100059,Nova Cosmetics,Male,CUS00476,Corporate,Jewelry Set,ACC009,Accessories,CAT003,4500,44,198000,9900,188100,0,0,5643,2026,January,5,188100,0
9/20/2025,SID015,Arif Hossain,INV2509100060,Rainbow Apparel,Male,CUS00215,Retail,Men's Innerwear,APP016,Fashion Apparel,CAT001,700,31,21700,651,21049,0,0,631.47,2025,September,20,21049,0
8/1/2026,SID008,Mahmudul Hasan,INV2608100061,Fashion Central,Male,CUS00230,Corporate,Men T-Shirt,APP001,Fashion Apparel,CAT001,750,12,9000,630,8370,167.4,1674,251.1,2026,August,1,8202.6,1674
5/10/2025,SID016,Imran Hossain,INV2505100062,Urban Beauty,Both,CUS00116,Online,Luggage,ACC013,Accessories,CAT003,8000,90,720000,36000,684000,13680,0,20520,2025,May,10,670320,0
6/14/2025,SID020,Sadia Afrin,INV2506100063,Diamond Cosmetics,Female,CUS00119,Distributor,Men T-Shirt,APP001,Fashion Apparel,CAT001,750,98,73500,5145,68355,1367.1,13671,2050.65,2025,June,14,66987.9,13671
6/1/2025,SID005,Nayeem Hasan,INV2506100064,Beauty World,Male,CUST010,Distributor,Women's Skirt,APP011,Fashion Apparel,CAT001,1500,90,135000,13500,121500,6075,36450,3645,2025,June,1,115425,36450
6/30/2026,SID020,Rashedul Islam,INV2606100065,New Era Fashion,Male,CUS00478,Distributor,Hat,ACC007,Accessories,CAT003,700,45,31500,3150,28350,1417.5,0,850.5,2026,June,30,26932.5,0
4/27/2026,SID009,Arif Hossain,INV2604100066,Nova Cosmetics,Female,CUS00054,Online,Disinfectant Spray,HYG003,Hygiene Products,CAT004,400,66,26400,0,26400,528,5280,792,2026,April,27,25872,5280
2/7/2026,SID015,Nayeem Hasan,INV2602100067,Classic Beauty,Both,CUST025,Corporate,Compact Powder,COS008,Cosmetics,CAT002,800,78,62400,0,62400,3120,0,1872,2026,February,7,59280,0
3/3/2025,SID010,Jannatul Ferdous,INV2503100068,Lily Boutique,Both,CUS00463,Corporate,Foot Care Cream,HYG014,Hygiene Products,CAT004,300,91,27300,0,27300,1365,8190,819,2025,March,3,25935,8190
1/17/2025,SID019,Mim Akter,INV2501100069,Glamour Point,Female,CUS00242,Walk In,Body Scrub,COS026,Cosmetics,CAT002,650,28,18200,910,17290,864.5,0,518.7,2025,January,17,16425.5,0
1/11/2026,SID016,Nayeem Hasan,INV2601100070,Beauty World,Male,CUST010,Distributor,Men's Nightwear,APP015,Fashion Apparel,CAT001,850,64,54400,0,54400,2720,10880,1632,2026,January,11,51680,10880
3/31/2025,SID008,Sharmin Akter,INV2503100071,Beauty Express,Male,CUST002,Online,Beard Oil,COS010,Cosmetics,CAT002,900,94,84600,5922,78678,0,23603.4,2360.34,2025,March,31,78678,23603.4
9/25/2025,SID017,Nusrat Jahan,INV2509100072,Elite Fashion,Female,CUS00341,Walk In,Underarm Whitening Cream,HYG015,Hygiene Products,CAT004,500,7,3500,245,3255,0,0,97.65,2025,September,25,3255,0
6/13/2026,SID019,Mim Akter,INV2606100073,Diamond Cosmetics,Male,CUS00434,Distributor,Wallet,ACC002,Accessories,CAT003,1200,55,66000,1980,64020,0,12804,1920.6,2026,June,13,64020,12804
3/23/2025,SID010,Tanjina Sultana,INV2503100074,Elite Fashion,Both,CUS00237,Retail,Women's Top,APP006,Fashion Apparel,CAT001,1200,30,36000,1800,34200,1710,0,1026,2025,March,23,32490,0
10/25/2025,SID013,Mehedi Hasan,INV2510100075,Dream Fashion,Both,CUS00470,Distributor,Hair Color,COS012,Cosmetics,CAT002,1500,57,85500,0,85500,1710,25650,2565,2025,October,25,83790,25650
11/2/2026,SID010,Sharmin Akter,INV2611100076,Golden Fashion,Male,CUS00270,Retail,Wallet,ACC002,Accessories,CAT003,1200,24,28800,864,27936,558.72,8380.8,838.08,2026,November,2,27377.28,8380.8
5/27/2026,SID005,Tanvir Islam,INV2605100077,Fashion Plus,Male,CUS00400,Corporate,Foot Care Cream,COS023,Cosmetics,CAT002,300,78,23400,2340,21060,421.2,4212,631.8,2026,May,27,20638.8,4212
6/20/2025,SID007,Shuvo Das,INV2506100078,Fashion Express,Female,CUS00334,Corporate,Face Serum,COS014,Cosmetics,CAT002,1300,5,6500,325,6175,123.5,1852.5,185.25,2025,June,20,6051.5,1852.5
8/22/2026,SID017,Nusrat Jahan,INV2608100079,Smart Beauty,Female,CUS00379,Corporate,Face Mask,HYG002,Hygiene Products,CAT004,150,43,6450,193.5,6256.5,0,1251.3,187.69,2026,August,22,6256.5,1251.3
3/3/2026,SID002,Sabbir Ahmed,INV2603100080,Diamond Cosmetics,Male,CUS00382,Walk In,Nail Polish,COS013,Cosmetics,CAT002,400,37,14800,1480,13320,666,0,399.6,2026,March,3,12654,0
10/17/2025,SID009,Shuvo Das,INV2510100081,Bloom Cosmetics,Female,CUST027,Distributor,Belt,ACC003,Accessories,CAT003,800,82,65600,1968,63632,3181.6,12726.4,1908.96,2025,October,17,60450.4,12726.4
1/6/2026,SID015,Sadia Afrin,INV2601100082,Elegant Choice,Both,CUS00357,Online,Hair Accessories,ACC010,Accessories,CAT003,400,40,16000,1120,14880,744,4464,446.4,2026,January,6,14136,4464
6/7/2026,SID001,Imran Hossain,INV2606100083,Iconic Fashion,Female,CUS00455,Corporate,Hair Dryer,COS038,Cosmetics,CAT002,4000,22,88000,2640,85360,1707.2,17072,2560.8,2026,June,7,83652.8,17072
2/1/2026,SID019,Arif Hossain,INV2602100084,Urban Style,Male,CUS00311,Retail,Hair Color,COS012,Cosmetics,CAT002,1500,94,141000,4230,136770,0,0,4103.1,2026,February,1,136770,0
12/23/2025,SID006,Siam Ahmed,INV2512100085,Urban Avenue,Male,CUS00293,Retail,Feminine Wash,HYG010,Hygiene Products,CAT004,400,35,14000,420,13580,0,4074,407.4,2025,December,23,13580,4074
12/29/2025,SID008,Arif Hossain,INV2512100086,Star Fashion,Female,CUS00411,Corporate,Body Butter,COS017,Cosmetics,CAT002,700,58,40600,0,40600,0,8120,1218,2025,December,29,40600,8120
6/27/2026,SID005,Rafiul Karim,INV2606100087,Glamour House,Female,CUS00004,Walk In,Hair Mask,COS018,Cosmetics,CAT002,1100,60,66000,3300,62700,1254,18810,1881,2026,June,27,61446,18810
6/19/2026,SID007,Rakib Hasan,INV2606100088,Metro Fashion,Both,CUS00258,Distributor,Perfume,COS003,Cosmetics,CAT002,2200,14,30800,2156,28644,572.88,0,859.32,2026,June,19,28071.12,0
4/5/2026,SID014,Mehedi Hasan,INV2604100089,Fashion Point,Both,CUS00290,Retail,Bra & Panty Set,APP013,Fashion Apparel,CAT001,900,19,17100,0,17100,342,0,513,2026,April,5,16758,0
5/1/2025,SID013,Arif Hossain,INV2505100090,Elite Fashion,Female,CUS00234,Distributor,Face Mask,COS020,Cosmetics,CAT002,600,47,28200,2820,25380,0,7614,761.4,2025,May,1,25380,7614
2/17/2026,SID001,Rashedul Islam,INV2602100091,Royal Cosmetics,Both,CUS00251,Distributor,Body Butter,COS017,Cosmetics,CAT002,700,34,23800,1666,22134,442.68,6640.2,664.02,2026,February,17,21691.32,6640.2
10/3/2026,SID010,Samira Akter,INV2610100092,Diamond Cosmetics,Male,CUS00126,Retail,Hand Sanitizer,HYG001,Hygiene Products,CAT004,250,42,10500,1050,9450,0,2835,283.5,2026,October,3,9450,2835
7/17/2026,SID012,Tanvir Islam,INV2607100093,Fashion Hub Ltd,Both,CUS00035,Online,Makeup Kit,COS034,Cosmetics,CAT002,2500,73,182500,5475,177025,3540.5,53107.5,5310.75,2026,July,17,173484.5,53107.5
1/1/2025,SID016,Rakib Hasan,INV2501100094,Beauty Avenue,Female,CUST049,Distributor,Personal Toys,COS041,Cosmetics,CAT002,1500,51,76500,3825,72675,3633.75,14535,2180.25,2025,January,1,69041.25,14535
6/29/2026,SID003,Siam Ahmed,INV2606100095,Wonder Collection,Both,CUS00322,Walk In,Kids T-Shirt,APP007,Fashion Apparel,CAT001,650,43,27950,1956.5,25993.5,519.87,0,779.8,2026,June,29,25473.63,0
2/23/2025,SID011,Bonna Akter,INV2502100096,Chic Collection,Male,CUST050,Online,Aftershave,COS019,Cosmetics,CAT002,800,61,48800,4880,43920,878.4,13176,1317.6,2025,February,23,43041.6,13176
6/3/2025,SID009,Tasnia Rahman,INV2506100097,Prime Collection,Male,CUS00233,Retail,Deodorant,HYG008,Hygiene Products,CAT004,450,77,34650,1039.5,33610.5,672.21,6722.1,1008.31,2025,June,3,32938.29,6722.1
11/13/2026,SID011,Shakil Khan,INV2611100098,Elite Collection,Male,CUS00007,Online,Body Wash,COS030,Cosmetics,CAT002,600,79,47400,3318,44082,881.64,0,1322.46,2026,November,13,43200.36,0
5/5/2026,SID018,Jannatul Ferdous,INV2605100099,Glamour House,Female,CUS00188,Retail,Body Oil,COS040,Cosmetics,CAT002,800,41,32800,0,32800,1640,0,984,2026,May,5,31160,0
8/7/2026,SID012,Bonna Akter,INV2608100100,Glow & Shine,Both,CUS00196,Online,Umbrella,ACC014,Accessories,CAT003,1200,31,37200,1860,35340,706.8,7068,1060.2,2026,August,7,34633.2,7068
2/10/2026,SID018,Jannatul Ferdous,INV2602100101,Style World,Female,CUS00060,Online,Body Mist,COS037,Cosmetics,CAT002,450,41,18450,1291.5,17158.5,343.17,0,514.75,2026,February,10,16815.33,0
10/23/2026,SID014,Arif Hossain,INV2610100102,Fashion Avenue,Male,CUS00433,Online,Gloves,ACC008,Accessories,CAT003,600,55,33000,0,33000,1650,6600,990,2026,October,23,31350,6600
1/9/2026,SID016,Mim Akter,INV2601100103,Wonder Collection,Female,CUS00412,Corporate,Lipstick,COS002,Cosmetics,CAT002,850,26,22100,663,21437,1071.85,4287.4,643.11,2026,January,9,20365.15,4287.4
5/18/2026,SID010,Samira Akter,INV2605100104,Glamour House,Female,CUS00080,Walk In,Hair Conditioner,COS032,Cosmetics,CAT002,750,57,42750,0,42750,2137.5,0,1282.5,2026,May,18,40612.5,0
12/17/2025,SID003,Mehedi Hasan,INV2512100105,Beauty Express,Male,CUST002,Online,Makeup Remover,COS015,Cosmetics,CAT002,550,45,24750,2475,22275,445.5,6682.5,668.25,2025,December,17,21829.5,6682.5
3/10/2026,SID012,Shakil Khan,INV2603100106,Glamour House,Both,CUS00488,Corporate,Hair Mask,COS018,Cosmetics,CAT002,1100,42,46200,2310,43890,0,0,1316.7,2026,March,10,43890,0
3/8/2026,SID018,Samira Akter,INV2603100107,Trendy Boutique,Both,CUS00277,Walk In,Hair Serum,COS006,Cosmetics,CAT002,1200,90,108000,10800,97200,1944,19440,2916,2026,March,8,95256,19440
7/18/2026,SID019,Sabbir Ahmed,INV2607100108,Cosmetics World,Female,CUS00010,Corporate,Bra & Panty Set,APP013,Fashion Apparel,CAT001,900,13,11700,585,11115,222.3,2223,333.45,2026,July,18,10892.7,2223
4/9/2026,SID008,Siam Ahmed,INV2604100109,Trendy Shop,Female,CUS00283,Corporate,Diapers,HYG012,Hygiene Products,CAT004,800,32,25600,2560,23040,460.8,0,691.2,2026,April,9,22579.2,0
1/17/2025,SID010,Imran Hossain,INV2501100110,Glow & Shine,Both,CUS00250,Distributor,Bra & Panty Set,APP013,Fashion Apparel,CAT001,900,47,42300,4230,38070,0,11421,1142.1,2025,January,17,38070,11421
7/31/2025,SID014,Tasnia Rahman,INV2507100111,Urban Beauty,Both,CUS00498,Walk In,Deodorant,COS016,Cosmetics,CAT002,450,27,12150,0,12150,243,3645,364.5,2025,July,31,11907,3645
4/26/2026,SID006,Sharmin Akter,INV2604100112,Modern Boutique,Female,CUS00331,Distributor,Women's Nightwear,APP014,Fashion Apparel,CAT001,800,85,68000,0,68000,3400,13600,2040,2026,April,26,64600,13600
10/13/2026,SID004,Shuvo Das,INV2610100113,Cosmo House,Both,CUST055,Distributor,Face Scrub,COS027,Cosmetics,CAT002,550,39,21450,1072.5,20377.5,1018.88,0,611.32,2026,October,13,19358.62,0
4/1/2026,SID012,Tasnia Rahman,INV2604100114,Style Corner,Male,CUS00367,Retail,Hat,ACC007,Accessories,CAT003,700,46,32200,1610,30590,1529.5,0,917.7,2026,April,1,29060.5,0
12/10/2026,SID015,Mahmudul Hasan,INV2612100115,Signature Fashion,Both,CUS00489,Corporate,Body Butter,COS017,Cosmetics,CAT002,700,69,48300,4830,43470,869.4,8694,1304.1,2026,December,10,42600.6,8694
12/3/2026,SID008,Tasnia Rahman,INV2612100116,Glamour House,Both,CUS00325,Retail,Toothpaste,HYG005,Hygiene Products,CAT004,200,62,12400,868,11532,576.6,2306.4,345.96,2026,December,3,10955.4,2306.4
3/4/2026,SID004,Mehedi Hasan,INV2603100117,Cosmetics Plus,Male,CUS00253,Retail,Men T-Shirt,APP001,Fashion Apparel,CAT001,750,70,52500,5250,47250,945,9450,1417.5,2026,March,4,46305,9450
11/28/2026,SID008,Nayeem Hasan,INV2611100118,Trendy Boutique,Male,CUS00270,Retail,Face Scrub,COS027,Cosmetics,CAT002,550,30,16500,495,16005,0,4801.5,480.15,2026,November,28,16005,4801.5
10/15/2026,SID009,Bonna Akter,INV2610100119,Fashion Avenue,Both,CUS00474,Walk In,Hair Removal Cream,HYG013,Hygiene Products,CAT004,450,96,43200,2160,41040,0,0,1231.2,2026,October,15,41040,0
7/23/2026,SID010,Tanjina Sultana,INV2607100120,Signature Fashion,Male,CUS00325,Online,Body Lotion,COS004,Cosmetics,CAT002,650,95,61750,6175,55575,0,0,1667.25,2026,July,23,55575,0
4/7/2026,SID012,Tasnia Rahman,INV2604100121,Crystal Cosmetics,Male,CUS00052,Walk In,Face Toner,COS033,Cosmetics,CAT002,500,24,12000,840,11160,0,2232,334.8,2026,April,7,11160,2232
7/1/2026,SID014,Imran Hossain,INV2607100122,Beauty Express,Male,CUST002,Online,Body Oil,COS040,Cosmetics,CAT002,800,91,72800,3640,69160,1383.2,0,2074.8,2026,July,1,67776.8,0
5/29/2025,SID007,Bonna Akter,INV2505100123,Modern Boutique,Both,CUS00495,Walk In,Footwear,ACC011,Accessories,CAT003,2500,71,177500,12425,165075,8253.75,49522.5,4952.25,2025,May,29,156821.25,49522.5
2/2/2026,SID013,Shuvo Das,INV2602100124,Unique Collection,Both,CUS00360,Distributor,Feminine Wash,COS022,Cosmetics,CAT002,400,38,15200,760,14440,288.8,2888,433.2,2026,February,2,14151.2,2888
8/12/2026,SID007,Nusrat Jahan,INV2608100125,Shine Collection,Male,CUS00186,Distributor,Shaving Cream,HYG009,Hygiene Products,CAT004,350,94,32900,2303,30597,611.94,6119.4,917.91,2026,August,12,29985.06,6119.4
